yv,xv
1075,0.0049703
352,0.014904
247,0.024838
161,0.034772
114,0.044705
98,0.054639
67,0.064573
51,0.074507
54,0.08444
38,0.094374
36,0.10431
27,0.11424
32,0.12418
19,0.13411
21,0.14404
25,0.15398
21,0.16391
12,0.17384
10,0.18378
17,0.19371
14,0.20365
11,0.21358
8,0.22351
9,0.23345
9,0.24338
6,0.25331
7,0.26325
7,0.27318
3,0.28312
3,0.29305
1,0.30298
6,0.31292
6,0.32285
4,0.33278
4,0.34272
5,0.35265
1,0.36259
2,0.37252
2,0.38245
6,0.39239
5,0.40232
1,0.41225
1,0.42219
0,0.43212
1,0.44206
1,0.45199
0,0.46192
0,0.47186
4,0.48179
2,0.49172
2,0.50166
3,0.51159
3,0.52153
0,0.53146
1,0.54139
0,0.55133
1,0.56126
0,0.57119
1,0.58113
1,0.59106
1,0.601
0,0.61093
0,0.62086
2,0.6308
0,0.64073
0,0.65066
0,0.6606
1,0.67053
0,0.68047
0,0.6904
0,0.70033
1,0.71027
0,0.7202
0,0.73013
0,0.74007
1,0.75
0,0.75993
0,0.76987
1,0.7798
0,0.78974
0,0.79967
0,0.8096
0,0.81954
0,0.82947
0,0.8394
0,0.84934
0,0.85927
1,0.86921
1,0.87914
0,0.88907
0,0.89901
1,0.90894
0,0.91887
0,0.92881
0,0.93874
1,0.94868
1,0.95861
0,0.96854
0,0.97848
1,0.98841
